a, 12, 0.0
b, 12, 0.0
c, 12, 0.0
d, 10, 0.0
e, 12, 0.0
f, 12, 0.0
g, 4, 0.0
h, 6, 0.0
a a, 6, 1.5000001
a b, 12, 1.9999998
b a, 2, 0.6666667
a c, 12, 0.81666666
c a, 2, 2.0
a d, 10, 0.5133333
a e, 12, 0.37619048
a f, 12, 0.29298943
a g, 4, 0.225
a h, 6, 0.18787879
b b, 6, 1.5555556
b c, 12, 1.9999998
c b, 2, 2.0
b d, 10, 0.6933334
b e, 12, 0.5555556
b f, 12, 0.39801586
b g, 4, 0.3611111
b h, 6, 0.2611111
c c, 8, 2.0
c d, 10, 2.0000002
c e, 12, 1.111111
c f, 12, 0.6388889
c g, 4, 0.4761905
c h, 6, 0.31190476
d d, 2, 2.0
d e, 10, 2.0000002
d f, 10, 0.88000005
d g, 2, 0.33333334
d h, 4, 0.34285715
e e, 2, 2.0
e f, 12, 1.9999998
e g, 4, 1.0
e h, 6, 0.5555556
f f, 8, 2.0
f g, 4, 2.0
f h, 6, 1.2222223
g g, 2, 2.0
g h, 4, 2.0
h h, 4, 2.0
a a a, 2, 3.0
a a b, 4, 2.0
a a c, 6, 0.89285713
a a d, 4, 0.67499995
a a e, 6, 0.49166667
a a f, 6, 0.36507937
a a g, 4, 0.3
a a h, 4, 0.26136363
a b a, 2, 1.0
a b b, 6, 2.3333335
a b c, 12, 2.2916667
a b d, 10, 0.71
a b e, 12, 0.55833334
a b f, 12, 0.43154764
a b g, 4, 0.3809524
a b h, 6, 0.31111112
b a c, 2, 1.0
b a d, 2, 0.75
b a e, 2, 0.6
b a f, 2, 0.5
a c a, 2, 1.0
a c b, 2, 1.0
a c c, 8, 1.5
a c d, 10, 0.71
a c e, 12, 0.55833334
a c f, 12, 0.43154764
a c g, 4, 0.3809524
a c h, 6, 0.31111112
c a c, 2, 3.0
c a d, 2, 1.5
c a e, 2, 1.0
c a f, 2, 0.75
a d d, 2, 0.6
a d e, 10, 0.75000006
a d f, 10, 0.5321429
